CPU:0 [LOST 34738 EVENTS]
 0)   0.137 us    |                                    hrtick_update();
 0)   3.056 us    |                                  }
 0)   4.015 us    |                                }
 0)               |                                ttwu_do_wakeup() {
 0)               |                                  check_preempt_curr() {
 0)               |                                    check_preempt_wakeup() {
 0)   0.146 us    |                                      update_curr();
 0)   0.337 us    |                                      wakeup_preempt_entity.isra.73();
 0)   0.157 us    |                                      set_next_buddy();
 0)   0.142 us    |                                      resched_curr();
 0)   1.522 us    |                                    }
 0)   1.808 us    |                                  }
 0)   2.350 us    |                                }
 0)   6.770 us    |                              }
 0)   0.135 us    |                              ttwu_stat();
 0)   0.140 us    |                              _raw_spin_unlock_irqrestore();
 0)   8.574 us    |                            }
 0)   8.848 us    |                          }
 0)   9.265 us    |                        }
 0)   0.147 us    |                        _raw_spin_unlock_irqrestore();
 0) + 10.080 us   |                      }
 0) + 10.369 us   |                    }
 0) + 10.917 us   |                  }
 0)   0.139 us    |                  rcu_jiffies_till_stall_check();
 0)   0.137 us    |                  rcu_segcblist_ready_cbs();
 0)   0.135 us    |                  rcu_segcblist_ready_cbs();
 0)   0.163 us    |                  rcu_segcblist_extract_done_cbs();
 0)   0.244 us    |                  rcu_cblist_dequeue();
 0)               |                  file_free_rcu() {
 0)               |                    kmem_cache_free() {
 0)   0.155 us    |                      __slab_free();
 0)   0.603 us    |                    }
 0)   1.104 us    |                  }
 0)   0.179 us    |                  rcu_cblist_dequeue();
 0)               |                  file_free_rcu() {
 0)               |                    kmem_cache_free() {
 0)               |                      __slab_free() {
 0)   0.142 us    |                        put_cpu_partial();
 0)   0.449 us    |                      }
 0)   0.740 us    |                    }
 0)   1.094 us    |                  }
 0)   0.221 us    |                  rcu_cblist_dequeue();
 0)               |                  file_free_rcu() {
 0)               |                    kmem_cache_free() {
 0)   0.152 us    |                      __slab_free();
 0)   0.410 us    |                    }
 0)   0.761 us    |                  }
 0)   0.226 us    |                  rcu_cblist_dequeue();
 0)               |                  file_free_rcu() {
 0)               |                    kmem_cache_free() {
 0)   0.140 us    |                      __slab_free();
 0)   0.400 us    |                    }
 0)   0.758 us    |                  }
 0)   0.230 us    |                  rcu_cblist_dequeue();
 0)               |                  file_free_rcu() {
 0)               |                    kmem_cache_free() {
 0)   0.140 us    |                      __slab_free();
 0)   0.403 us    |                    }
 0)   0.667 us    |                  }
 0)   0.140 us    |                  rcu_cblist_dequeue();
 0)               |                  file_free_rcu() {
 0)               |                    kmem_cache_free() {
 0)   0.141 us    |                      __slab_free();
 0)   0.407 us    |                    }
 0)   0.668 us    |                  }
 0)   0.233 us    |                  rcu_cblist_dequeue();
 0)               |                  file_free_rcu() {
 0)               |                    kmem_cache_free() {
 0)   0.142 us    |                      __slab_free();
 0)   0.404 us    |                    }
 0)   0.668 us    |                  }
 0)   0.253 us    |                  rcu_cblist_dequeue();
 0)               |                  file_free_rcu() {
 0)   0.166 us    |                    kmem_cache_free();
 0)   0.505 us    |                  }
 0)   0.225 us    |                  rcu_cblist_dequeue();
 0)               |                  file_free_rcu() {
 0)               |                    kmem_cache_free() {
 0)   0.142 us    |                      __slab_free();
 0)   0.414 us    |                    }
 0)   0.674 us    |                  }
 0)   0.221 us    |                  rcu_cblist_dequeue();
 0)               |                  file_free_rcu() {
 0)               |                    kmem_cache_free() {
 0)   0.143 us    |                      __slab_free();
 0)   0.404 us    |                    }
 0)   0.668 us    |                  }
 0)   0.349 us    |                  rcu_segcblist_insert_done_cbs();
 0)   0.133 us    |                  rcu_segcblist_insert_count();
 0)   0.132 us    |                  rcu_segcblist_ready_cbs();
 0)   0.145 us    |                  raise_softirq();
 0) + 27.760 us   |                }
 0)               |                wake_up_process() {
 0)               |                  try_to_wake_up() {
 0)   0.385 us    |                    _raw_spin_lock_irqsave();
 0)   0.131 us    |                    _raw_spin_lock();
 0)   0.149 us    |                    update_rq_clock();
 0)               |                    ttwu_do_activate() {
 0)               |                      activate_task() {
 0)               |                        psi_task_change() {
 0)   0.162 us    |                          record_times();
 0)   0.553 us    |                        }
 0)               |                        enqueue_task_fair() {
 0)               |                          enqueue_entity() {
 0)               |                            update_curr() {
 0)   0.142 us    |                              update_min_vruntime();
 0)   0.402 us    |                            }
 0)               |                            __update_load_avg_se() {
 0)   0.137 us    |                              __accumulate_pelt_segments();
 0)   0.429 us    |                            }
 0)   0.149 us    |                            __update_load_avg_cfs_rq();
 0)   0.134 us    |                            update_cfs_group();
 0)   0.225 us    |                            account_entity_enqueue();
 0)   0.154 us    |                            __enqueue_entity();
 0)   2.403 us    |                          }
 0)   0.136 us    |                          hrtick_update();
 0)   3.035 us    |                        }
 0)   4.074 us    |                      } /* activate_task */
 0)               |                      ttwu_do_wakeup() {
 0)               |                        check_preempt_curr() {
 0)   0.139 us    |                          check_preempt_wakeup();
 0)   0.419 us    |                        }
 0)   0.730 us    |                      }
 0)   5.199 us    |                    }
 0)   0.134 us    |                    ttwu_stat();
 0)   0.145 us    |                    _raw_spin_unlock_irqrestore();
 0)   7.128 us    |                  }
 0)   7.386 us    |                }
 0) + 36.555 us   |              }
 0)   0.140 us    |              idle_cpu();
 0)   0.147 us    |              rcu_irq_exit();
 0) + 37.457 us   |            }
 0) + 92.726 us   |          } /* smp_apic_timer_interrupt */
 0)   <========== |
 0)   0.160 us    |          unlock_page();
 0)               |          alloc_set_pte() {
 0)               |            page_add_file_rmap() {
 0)   0.147 us    |              lock_page_memcg();
 0)   0.137 us    |              unlock_page_memcg();
 0)   0.725 us    |            }
 0)   1.054 us    |          }
 0)   0.137 us    |          unlock_page();
 0)               |          alloc_set_pte() {
 0)               |            page_add_file_rmap() {
 0)   0.136 us    |              lock_page_memcg();
 0)   0.137 us    |              unlock_page_memcg();
 0)   0.668 us    |            }
 0)   0.940 us    |          }
 0)   0.136 us    |          unlock_page();
 0)               |          alloc_set_pte() {
 0)               |            page_add_file_rmap() {
 0)   0.137 us    |              lock_page_memcg();
 0)   0.137 us    |              unlock_page_memcg();
 0)   0.666 us    |            }
 0)   0.939 us    |          }
 0)   0.138 us    |          unlock_page();
 0)               |          alloc_set_pte() {
 0)               |            page_add_file_rmap() {
 0)   0.135 us    |              lock_page_memcg();
 0)   0.136 us    |              unlock_page_memcg();
 0)   0.664 us    |            }
 0)   0.937 us    |          }
 0)   0.137 us    |          unlock_page();
 0)               |          alloc_set_pte() {
 0)               |            page_add_file_rmap() {
 0)   0.137 us    |              lock_page_memcg();
 0)   0.138 us    |              unlock_page_memcg();
 0)   0.771 us    |            }
 0)   1.043 us    |          }
 0)   0.135 us    |          unlock_page();
 0)               |          alloc_set_pte() {
 0)               |            page_add_file_rmap() {
 0)   0.136 us    |              lock_page_memcg();
 0)   0.135 us    |              unlock_page_memcg();
 0)   0.659 us    |            }
 0)   0.928 us    |          }
 0)   0.134 us    |          unlock_page();
 0)               |          alloc_set_pte() {
 0)               |            page_add_file_rmap() {
 0)   0.136 us    |              lock_page_memcg();
 0)   0.135 us    |              unlock_page_memcg();
 0)   0.660 us    |            }
 0)   0.929 us    |          }
 0)   0.134 us    |          unlock_page();
 0) ! 126.876 us  |        } /* filemap_map_pages */
 0) ! 127.641 us  |      } /* __handle_mm_fault */
 0) ! 128.455 us  |    } /* handle_mm_fault */
 0)   0.135 us    |    up_read();
 0) ! 130.719 us  |  } /* __do_page_fault */
 0)               |  exit_to_usermode_loop() {
 0)               |    schedule() {
 0)   0.147 us    |      rcu_note_context_switch();
 0)   0.135 us    |      _raw_spin_lock();
 0)   0.141 us    |      update_rq_clock();
 0)               |      pick_next_task_fair() {
 0)   0.138 us    |        update_curr();
 0)   0.134 us    |        check_cfs_rq_runtime();
 0)               |        pick_next_entity() {
 0)   0.148 us    |          wakeup_preempt_entity.isra.73();
 0)   0.145 us    |          clear_buddies();
 0)   0.713 us    |        }
